Destination Port, Flow Duration, Total Fwd Packets, Total Length of Fwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Bwd Packet Length Max, Bwd Packet Length Min, Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Min, Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min, Fwd PSH Flags, Fwd URG Flags, Fwd Header Length, Bwd Header Length, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Variance, FIN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, Down/Up Ratio, Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward, Active Mean, Active Std, Active Max, Active Min, Idle Std, Label
80,1.17095e+06,8,463,463,0,57.875,1386,0,1712.29,11.1021,97578.8,280621,1.02334e+06,3,167278,351195,19,2222,555.5,832.006,1993,28,0,0,272,168,4.27005,0,1386,154.231,142344,1,1,3,11,0,0.625,32120,249,1,32,0,0,0,0,0,PortScan
80,1.17116e+06,7,410,410,0,58.5714,1404,0,1682.09,10.2462,106469,321775,1.12328e+06,2,195194,415335,13,5044,1261,2142.55,4972,21,0,0,232,168,4.26926,0,1404,164.167,153354,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,2.194e+06,8,347,347,0,43.375,1254,0,800.819,5.92524,182834,399735,1.12764e+06,3,313429,482691,19,2025,506.25,783.872,1863,29,0,0,272,168,2.27894,0,1254,135.154,113830,1,1,3,11,0,0.625,32120,249,1,32,0,0,0,0,0,PortScan
80,3.21447e+06,8,363,363,0,45.375,1300,0,565.878,4.04421,267873,631882,2.14764e+06,3,459211,772403,19,4603,1150.75,1287.19,3163,25,0,0,272,168,1.55546,0,1300,139.923,122430,1,1,3,11,0,0.625,32120,249,1,32,0,0,0,0,0,PortScan
80,3.21465e+06,7,318,318,0,45.4286,1356,0,569.269,3.73291,292241,908106,3.16366e+06,2,535775,1.17533e+06,8,7305,1826.25,3128.52,7245,18,0,0,232,168,1.55538,0,1356,152.5,140427,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,3.2148e+06,7,254,254,0,36.2857,1282,0,526.316,3.73274,292254,909348,3.16764e+06,1,535800,1.17708e+06,10,6838,1709.5,2924.57,6775,19,0,0,232,168,1.55531,0,1282,141,124484,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,3.21495e+06,7,343,343,0,49,1222,0,535.312,3.73256,292268,909345,3.16763e+06,2,535825,1.17707e+06,10,6432,1608,2748.77,6369,19,0,0,232,168,1.55523,0,1222,143.417,115704,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,3.21513e+06,7,452,452,0,64.5714,1394,0,622.68,3.73235,292285,909343,3.16764e+06,2,535856,1.17706e+06,16,6040,1510,2569.79,5961,23,0,0,232,168,1.55515,0,1394,166.833,153156,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,3.22377e+06,7,309,309,0,44.1429,1280,0,541.291,3.72235,293070,909100,3.16763e+06,4,537296,1.17642e+06,15,12569,3142.25,3447.26,8337,22,0,0,232,168,1.55098,0,1280,145.417,125372,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,1.13269e+06,8,556,556,0,69.5,1342,0,1813.38,11.4771,94390.8,279966,1.02063e+06,2,161813,351366,16,5339,1334.75,1950.08,4688,26,0,0,272,168,4.41427,0,1342,158,139223,1,1,3,11,0,0.625,32120,249,1,32,0,0,0,0,0,PortScan
